Title,Min. NELM,Max. NELM
Excellentdark-sky site,7.6,8.0
Typical trulydark site,7.1,7.5
Rural sky,6.6,7.0
Brighter rural,6.3,6.5
Semi-Suburban/Transition sky,6.1,6.3
