ObsDateTime,Latitude,Longitude,Elevation,NELM,Constellation,State
2022-12-24 13:47:00+00:00,32.6103,-110.798,1329.27,5,Pegasus,United States - Arizona
2022-12-24 13:11:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-24 12:47:00+00:00,40.6325,-112.009,1427.24,2,Pegasus,United States
2022-12-24 14:36:00+00:00,30.3686,-103.666,1361.48,2,Pegasus,United States
2022-12-24 11:32:00+00:00,37.6387,-106.658,2583.7,5,Pegasus,United States - Colorado
2022-12-24 11:32:00+00:00,37.6337,-106.664,2562.25,5,Pegasus,United States - Colorado
2022-12-24 11:32:00+00:00,37.633,-106.667,2556.06,5,Pegasus,United States - Colorado
2022-12-24 11:32:00+00:00,37.6335,-106.665,2561.16,5,Pegasus,United States - Colorado
2022-12-23 13:50:00+00:00,34.0113,-117.992,139.043,1,Pegasus,United States - California
2022-12-23 20:22:00+00:00,38.888,-119.819,1461.36,6,Pegasus,United States - Nevada
2022-12-23 13:50:00+00:00,34.0113,-117.992,139.043,1,Pegasus,United States - California
2022-12-22 21:28:00+00:00,37.9979,-105.699,2427.86,6,Pegasus,United States - Colorado
2022-12-23 13:26:00+00:00,32.6103,-110.798,1329.56,5,Pegasus,United States - Arizona
2022-12-23 13:04:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-23 14:32:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-22 12:44:00+00:00,37.9977,-105.699,2426.5,6,Pegasus,United States - Colorado
2022-12-22 13:32:00+00:00,41.7207,-111.826,1392.88,3,Pegasus,United States - Utah
2022-12-22 11:44:00+00:00,43.0641,-87.9965,228.441,1,Pegasus,United States - Wisconsin
2022-12-21 15:48:00+00:00,37.9979,-105.699,2428.11,6,Pegasus,United States - Colorado
2022-12-21 13:57:00+00:00,32.6101,-110.798,1329.76,5,Pegasus,United States - Arizona
2022-12-21 14:35:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-21 13:36:00+00:00,40.2952,-76.9734,148.709,2,Pegasus,United States - Pennsylvania
2022-12-21 13:36:00+00:00,40.2952,-76.9734,148.709,2,Pegasus,United States - Pennsylvania
2022-12-22 15:15:00+00:00,44.6087,-83.8356,259.688,5,Pegasus,United States - Michigan
2022-12-19 20:55:00+00:00,37.9979,-105.699,2428.11,6,Pegasus,United States - Colorado
2022-12-20 14:20:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-20 17:45:00+00:00,40.0645,-75.3357,98.9076,2,Pegasus,United States - Pennsylvania
2022-12-20 17:45:00+00:00,40.0645,-75.3357,98.9076,2,Pegasus,United States - Pennsylvania
2022-12-20 14:53:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-20 14:00:00+00:00,39.9799,-74.2661,14.5735,2,Pegasus,United States - New Jersey
2022-12-19 17:45:00+00:00,40.0644,-75.3358,98.8845,1,Pegasus,United States - Pennsylvania
2022-12-19 12:09:00+00:00,37.9981,-105.699,2429.3,6,Pegasus,United States - Colorado
2022-12-19 17:45:00+00:00,40.0644,-75.3358,98.8845,1,Pegasus,United States - Pennsylvania
2022-12-18 16:47:00+00:00,40.0644,-75.3357,95.2634,1,Pegasus,United States - Pennsylvania
2022-12-19 13:52:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-19 14:42:00+00:00,30.3686,-103.666,1361.48,5,Pegasus,United States
2022-12-19 14:27:00+00:00,39.9799,-74.2661,14.5735,3,Pegasus,United States - New Jersey
2022-12-21 11:30:00+00:00,45.7637,-108.595,985.758,5,Pegasus,United States - Montana
2022-11-20 12:00:00+00:00,45.7637,-108.595,985.758,5,Pegasus,United States - Montana
2022-12-18 15:07:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-18 16:47:00+00:00,40.0644,-75.3357,95.2634,1,Pegasus,United States - Pennsylvania
2022-11-30 00:55:00+00:00,29.2361,-98.7912,222.71,3,Pegasus,United States - Texas
2022-12-19 01:53:00+00:00,29.2361,-98.7912,222.71,2,Pegasus,United States - Texas
2022-12-18 13:11:00+00:00,37.9979,-105.699,2428.11,6,Pegasus,United States - Colorado
2022-12-18 13:15:00+00:00,41.7207,-111.826,1392.43,2,Pegasus,United States - Utah
2022-12-18 15:07:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-18 12:58:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-18 16:47:00+00:00,40.0644,-75.3357,95.2634,1,Pegasus,United States - Pennsylvania
2022-12-18 12:49:00+00:00,40.6325,-112.009,1427.24,2,Pegasus,United States - Utah
2022-12-18 16:19:00+00:00,39.9799,-74.2661,14.5735,3,Pegasus,United States - New Jersey
2022-12-18 15:58:00+00:00,27.1613,-80.1804,3.40824,3,Pegasus,United States - Florida
2022-12-18 13:06:00+00:00,36.3339,-79.3843,210.456,5,Pegasus,United States - North Carolina
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-18 12:49:00+00:00,42.5242,-70.9087,27.3528,1,Pegasus,United States
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-14 14:34:00+00:00,44.0229,-82.7933,179.956,6,Pegasus,United States - Michigan
2022-11-25 16:42:00+00:00,41.8316,-84.2488,262.551,4,Pegasus,United States - Michigan
2022-11-23 14:50:00+00:00,43.4048,-82.5397,188.138,5,Pegasus,United States - Michigan
2022-12-17 13:28:00+00:00,37.9979,-105.699,2427.27,6,Pegasus,United States - Colorado
2022-12-17 15:35:00+00:00,30.3686,-103.666,1361.48,5,Pegasus,United States
2022-12-17 12:55:00+00:00,30.2377,-97.8832,282.832,4,Pegasus,United States - Texas
2022-12-17 15:27:00+00:00,36.3339,-79.3843,210.456,5,Pegasus,United States - North Carolina
2022-12-17 12:55:00+00:00,30.2377,-97.8832,282.832,4,Pegasus,United States - Texas
2022-12-17 11:48:00+00:00,36.3358,-86.7292,154.586,4,Pegasus,United States - Tennessee
2022-12-16 12:13:00+00:00,37.9981,-105.699,2429.26,6,Pegasus,United States - Colorado
2022-12-16 18:30:00+00:00,36.3339,-79.3843,210.456,4,Pegasus,United States - North Carolina
2022-12-15 16:45:00+00:00,29.8725,-98.6307,391.147,5,Pegasus,United States - Texas
2022-12-15 14:21:00+00:00,42.4374,-88.0382,243.276,1,Pegasus,United States - Illinois
2022-12-15 14:00:00+00:00,36.9049,-111.459,1298.86,5,Pegasus,United States - Arizona
2022-12-15 12:05:00+00:00,37.9978,-105.699,2426.92,6,Pegasus,United States - Colorado
2022-12-15 14:45:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-15 14:45:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-15 14:45:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-15 10:28:00+00:00,36.6652,-121.645,17.8503,2,Pegasus,United States - California
2022-12-15 10:21:00+00:00,36.6652,-121.645,17.8773,2,Pegasus,United States - California
2022-12-15 15:11:00+00:00,39.7468,-74.2484,28.2145,3,Pegasus,United States - New Jersey
2022-12-15 14:21:00+00:00,42.4374,-88.0382,243.276,1,Pegasus,United States - Illinois
2022-10-20 18:05:00+00:00,28.5506,-81.3537,33.9686,4,Pegasus,United States - Florida
2022-10-28 19:42:00+00:00,27.5849,-81.0614,17.6189,6,Pegasus,United States - Florida
2022-12-14 13:46:00+00:00,40.5471,-105.028,1499.14,3,Pegasus,United States
2022-12-14 12:11:00+00:00,37.9979,-105.699,2427.44,6,Pegasus,United States - Colorado
2022-12-14 11:39:00+00:00,40.5967,-112.045,1515.19,1,Pegasus,United States - Utah
2022-12-14 13:52:00+00:00,39.9799,-74.2661,14.5735,3,Pegasus,United States - New Jersey
2022-12-13 12:01:00+00:00,28.6543,-81.1603,17.9921,2,Pegasus,United States - Florida
2022-10-21 16:51:00+00:00,45.5808,-69.2625,480.982,6,Pegasus,United States - Maine
2022-10-21 16:51:00+00:00,45.5857,-69.2957,470.627,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6723,-69.3256,387.131,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-10-19 15:01:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-09-26 15:30:00+00:00,45.6746,-69.3219,390.795,6,Cygnus,United States - Maine
2022-09-26 15:30:00+00:00,45.6746,-69.3219,390.795,6,Cygnus,United States - Maine
2022-09-26 15:30:00+00:00,45.6746,-69.3219,390.795,6,Cygnus,United States - Maine
2022-09-26 15:30:00+00:00,45.6723,-69.3256,387.131,6,Cygnus,United States - Maine
2022-09-30 16:54:00+00:00,45.462,-69.3135,362.608,6,Cygnus,United States - Maine
2022-09-30 16:40:00+00:00,45.462,-69.3135,362.608,6,Cygnus,United States - Maine
2022-09-30 15:48:00+00:00,45.5162,-69.3602,379.44,6,Cygnus,United States - Maine
2022-09-24 18:21:00+00:00,45.4444,-69.1749,179.233,6,Cygnus,United States - Maine
2022-09-24 16:14:00+00:00,45.455,-69.1855,184.84,6,Cygnus,United States - Maine
2022-09-24 18:05:00+00:00,45.472,-69.2292,192.704,6,Cygnus,United States - Maine
2022-09-24 18:05:00+00:00,45.472,-69.2292,192.704,6,Cygnus,United States - Maine
2022-09-24 17:55:00+00:00,45.4775,-69.2856,205.536,6,Cygnus,United States - Maine
2022-09-24 17:55:00+00:00,45.462,-69.3135,362.608,6,Cygnus,United States - Maine
2022-09-24 06:02:00+00:00,45.4643,-69.3115,356.142,6,Cygnus,United States - Maine
2022-09-24 17:42:00+00:00,45.4643,-69.3115,356.142,6,Cygnus,United States - Maine
2022-09-24 17:37:00+00:00,45.4712,-69.3057,340.678,6,Cygnus,United States - Maine
2022-09-24 05:58:00+00:00,45.4712,-69.3057,340.678,6,Cygnus,United States - Maine
2022-09-24 17:31:00+00:00,45.4712,-69.3057,340.678,6,Cygnus,United States - Maine
2022-09-24 17:17:00+00:00,45.5029,-69.3493,371.365,6,Cygnus,United States - Maine
2022-09-24 16:49:00+00:00,45.5162,-69.3602,379.44,6,Cygnus,United States - Maine
2022-09-24 16:43:00+00:00,45.5208,-69.3707,404.69,6,Cygnus,United States - Maine
2022-09-24 16:35:00+00:00,45.4963,-69.3577,362.069,6,Cygnus,United States - Maine
2022-09-24 16:30:00+00:00,45.49,-69.3656,387.076,6,Cygnus,United States - Maine
2022-09-24 16:21:00+00:00,45.4871,-69.4019,415.023,6,Cygnus,United States - Maine
2022-09-24 16:10:00+00:00,45.4664,-69.418,445.854,6,Cygnus,United States - Maine
2022-12-13 14:25:00+00:00,37.9981,-105.699,2429.17,6,Pegasus,United States - Colorado
2022-12-07 16:23:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-07 16:23:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-10 15:59:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-12 15:05:00+00:00,41.6617,-83.6376,189.343,1,Pegasus,United States - Ohio
2022-12-13 13:37:00+00:00,39.9802,-74.2097,11.2048,3,Pegasus,United States - New Jersey
2022-12-12 08:53:00+00:00,35.2969,-120.667,81.7048,3,Pegasus,United States
2022-12-12 14:05:00+00:00,44.7941,-68.5921,63.2556,6,Pegasus,United States - Maine
2022-11-23 14:17:00+00:00,32.2433,-106.827,1229.3,2,Pegasus,United States - New Mexico
2022-10-29 17:55:00+00:00,28.6116,-81.8458,30.6125,5,Pegasus,United States - Florida
2022-11-29 13:41:00+00:00,38.4464,-85.6885,173.633,2,Pegasus,United States - Indiana
2022-10-28 15:58:00+00:00,38.735,-82.9903,163.958,2,Pegasus,United States - Ohio
2022-12-11 10:33:00+00:00,32.8201,-117.165,115.257,6,Pegasus,United States
2022-12-11 12:07:00+00:00,37.9979,-105.699,2427.87,6,Pegasus,United States - Colorado
2022-12-09 15:40:00+00:00,43.7471,-71.7646,261.012,4,Pegasus,United States - New Hampshire
2022-11-04 15:52:00+00:00,38.735,-82.9908,164.124,1,Pegasus,United States - Ohio
2022-12-11 15:13:00+00:00,43.757,-71.6916,186.828,2,Pegasus,United States - New Hampshire
2022-09-24 18:45:00+00:00,43.6289,-70.5126,60.4897,4,Cygnus,United States - Maine
2022-09-24 18:45:00+00:00,43.6289,-70.5126,60.4897,4,Cygnus,United States - Maine
2022-09-24 18:45:00+00:00,43.6289,-70.5126,60.4897,4,Cygnus,United States - Maine
2022-12-07 15:46:00+00:00,44.9756,-93.1082,264.36,3,Pegasus,United States - Minnesota
2022-12-10 11:26:00+00:00,37.9979,-105.699,2427.87,6,Pegasus,United States - Colorado
2022-12-09 15:40:00+00:00,43.7471,-71.7646,261.012,4,Pegasus,United States - New Hampshire
2022-12-09 12:32:00+00:00,43.757,-71.6882,158.369,4,Pegasus,United States - New Hampshire
2022-12-09 15:40:00+00:00,43.7471,-71.7646,261.012,4,Pegasus,United States - New Hampshire
2022-12-09 11:02:00+00:00,37.9981,-105.699,2429.34,6,Pegasus,United States - Colorado
2022-12-09 11:33:00+00:00,34.1072,-117.743,357.044,3,Pegasus,United States - California
2022-12-07 17:35:00+00:00,33.8443,-84.2791,297.821,3,Pegasus,United States - Georgia
2022-12-09 17:05:00+00:00,41.322,-72.764,32.4729,4,Pegasus,United States - Connecticut
2022-12-09 15:40:00+00:00,43.7471,-71.7646,261.012,4,Pegasus,United States - New Hampshire
2022-11-25 13:46:00+00:00,39.4975,-78.2822,290.652,4,Pegasus,United States - West Virginia
2022-11-21 14:38:00+00:00,39.6703,-79.9547,335.283,3,Pegasus,United States - West Virginia
2022-11-21 14:38:00+00:00,39.6703,-79.9547,335.283,3,Pegasus,United States - West Virginia
2022-11-21 14:38:00+00:00,39.6703,-79.9547,335.283,3,Pegasus,United States - West Virginia
2022-12-09 12:32:00+00:00,43.757,-71.6882,158.369,4,Pegasus,United States - New Hampshire
2022-09-18 04:30:00+00:00,40.806,-77.8684,362.974,5,Cygnus,United States - Pennsylvania
2022-11-21 18:36:00+00:00,40.5705,-80.0197,354.589,2,Pegasus,United States - Pennsylvania
2022-11-20 19:04:00+00:00,40.5705,-80.0197,354.589,3,Pegasus,United States - Pennsylvania
2022-11-21 18:36:00+00:00,40.5705,-80.0197,354.589,2,Pegasus,United States - Pennsylvania
2022-11-25 15:34:00+00:00,37.8816,-121.914,1169.17,1,Pegasus,United States - California
2022-12-08 16:24:00+00:00,37.8816,-121.914,1169.17,1,Pegasus,United States - California
2022-11-22 14:59:00+00:00,38.5816,-121.494,8.19683,3,Pegasus,United States - California
2022-12-08 11:03:00+00:00,37.9979,-105.699,2428.61,5,Pegasus,United States - Colorado
2022-12-08 11:05:00+00:00,35.0428,-120.476,101.147,2,Pegasus,United States - California
2022-12-08 16:58:00+00:00,41.322,-72.764,32.6141,3,Pegasus,United States - Connecticut
2022-11-25 15:02:00+00:00,39.8234,-104.935,1566.09,2,Pegasus,United States - Colorado
2022-11-19 15:33:00+00:00,39.2535,-106.092,3371.89,5,Pegasus,United States - Colorado
2022-10-31 00:00:00+00:00,33.1628,-117.144,246.79,3,Pegasus,United States - California
2022-11-18 13:35:00+00:00,37.7935,-105.593,2402.76,5,Pegasus,United States - Colorado
2022-11-17 14:22:00+00:00,39.6703,-79.9547,335.283,1,Pegasus,United States - West Virginia
2022-10-26 16:43:00+00:00,39.6703,-79.9547,335.283,3,Pegasus,United States - West Virginia
2022-10-18 16:12:00+00:00,39.6703,-79.9547,335.283,2,Pegasus,United States - West Virginia
2022-09-26 16:57:00+00:00,39.6703,-79.9547,335.283,1,Cygnus,United States - West Virginia
2022-09-21 17:03:00+00:00,39.6703,-79.9547,335.283,4,Cygnus,United States - West Virginia
2022-11-22 12:00:00+00:00,31.3329,-109.134,1255.15,6,Pegasus,United States
2022-11-22 12:20:00+00:00,31.3338,-109.222,1170.92,6,Pegasus,United States
2022-11-22 12:16:00+00:00,31.3335,-109.203,1198.18,6,Pegasus,United States
2022-11-22 12:13:00+00:00,31.3331,-109.16,1244.38,6,Pegasus,United States
2022-11-22 12:09:00+00:00,31.3331,-109.16,1244.38,6,Pegasus,United States
2022-11-22 12:06:00+00:00,31.3331,-109.16,1244.38,6,Pegasus,United States
2022-11-22 12:00:00+00:00,31.3331,-109.16,1244.38,6,Pegasus,United States
2022-12-06 22:46:00+00:00,37.998,-105.699,2429.24,4,Pegasus,United States - Colorado
2022-12-07 17:25:00+00:00,44.9698,-93.2412,250.13,2,Pegasus,United States - Minnesota
2022-12-07 16:39:00+00:00,41.322,-72.764,32.6141,2,Pegasus,United States - Connecticut
2022-08-25 02:45:00+00:00,39.9898,-105.283,1838.47,6,Hercules,United States - Colorado
2022-08-25 02:23:00+00:00,39.9898,-105.283,1838.47,5,Hercules,United States - Colorado
2022-09-17 17:37:00+00:00,39.6703,-79.9547,335.283,4,Cygnus,United States - West Virginia
2022-12-06 15:54:00+00:00,32.2404,-96.4985,140.071,2,Pegasus,United States - Texas
2022-12-06 17:11:00+00:00,41.322,-72.7641,32.7249,2,Pegasus,United States - Connecticut
2022-12-04 16:15:00+00:00,45.0854,-93.0081,286.128,3,Pegasus,United States - Minnesota
2022-12-05 13:30:00+00:00,35.1748,-120.707,27.0266,2,Pegasus,United States - California
2022-12-05 22:46:00+00:00,37.9979,-105.699,2428.63,4,Pegasus,United States - Colorado
2022-11-28 15:39:00+00:00,42.1957,-70.8735,38.5672,2,Pegasus,United States - Massachusetts
2022-12-05 18:22:00+00:00,39.9904,-74.2766,24.3805,2,Pegasus,United States - New Jersey
2022-12-05 16:57:00+00:00,41.322,-72.7641,32.7249,2,Pegasus,United States - Connecticut
2022-11-28 15:39:00+00:00,42.1957,-70.8735,38.5672,2,Pegasus,United States - Massachusetts
2022-12-05 09:56:00+00:00,35.4851,-120.69,324.839,3,Pegasus,United States - California
2022-12-05 09:41:00+00:00,40.5985,-112.036,1492.28,4,Pegasus,United States - Utah
2022-12-05 12:56:00+00:00,39.6295,-79.9559,321.207,2,Pegasus,United States - West Virginia
2022-12-04 22:08:00+00:00,37.9979,-105.699,2427.76,5,Pegasus,United States - Colorado
2022-11-26 15:35:00+00:00,39.5283,-104.897,1841.78,1,Pegasus,United States - Colorado
2022-11-25 14:24:00+00:00,39.5283,-104.897,1841.92,2,Pegasus,United States - Colorado
2022-11-23 15:31:00+00:00,39.5283,-104.897,1841.94,3,Pegasus,United States - Colorado
2022-11-23 12:30:00+00:00,39.5283,-104.897,1841.97,3,Pegasus,United States - Colorado
2022-11-22 14:21:00+00:00,39.5283,-104.897,1841.97,3,Pegasus,United States - Colorado
2022-11-21 15:27:00+00:00,39.5283,-104.897,1841.9,2,Pegasus,United States - Colorado
2022-11-20 13:41:00+00:00,39.5283,-104.897,1841.95,2,Pegasus,United States - Colorado
2022-11-18 12:24:00+00:00,39.5283,-104.897,1841.87,2,Pegasus,United States - Colorado
2022-11-13 15:04:00+00:00,39.5283,-104.898,1841.75,1,Pegasus,United States - Colorado
2022-11-17 15:43:00+00:00,37.593,-97.3469,386.512,4,Pegasus,United States - Kansas
2022-12-04 15:31:00+00:00,37.593,-97.3469,386.512,2,Pegasus,United States - Kansas
2022-11-14 14:14:00+00:00,45.5833,-97.0156,383.572,2,Pegasus,United States - Kansas
